OMP: Warning #181: OMP_PROC_BIND: ignored because KMP_AFFINITY has been defined
OMP: Warning #181: OMP_PLACES: ignored because KMP_AFFINITY has been defined
Running with MNT=32 and MNT=1 and  MAL=268435456
mquanta[B], num_threads, num_thransactions, length, memsize[B], r_time[s], w_time[s], rw_time[s], r_bw[B/s], w_bw[B/s], rw_bw[B/s]
4 32 1 1 128 5.248e-06 2.224e-06 2.29e-06 2.43902e+07 5.7554e+07 5.58952e+07
4 32 1 2 256 2.456e-06 1.794e-06 1.915e-06 1.04235e+08 1.42698e+08 1.33681e+08
4 32 1 4 512 2.455e-06 1.797e-06 1.829e-06 2.08554e+08 2.84919e+08 2.79934e+08
4 32 1 8 1024 2.667e-06 1.728e-06 1.934e-06 3.83952e+08 5.92593e+08 5.29473e+08
4 32 1 16 2048 3.738e-06 1.7539e-05 3.87e-06 5.47887e+08 1.16768e+08 5.29199e+08
4 32 1 32 4096 2.725e-06 1.987e-06 2.056e-06 1.50312e+09 2.0614e+09 1.99222e+09
4 32 1 64 8192 2.723e-06 2e-06 1.961e-06 3.00845e+09 4.096e+09 4.17746e+09
4 32 1 128 16384 2.653e-06 2.254e-06 2.118e-06 6.17565e+09 7.26886e+09 7.7356e+09
4 32 1 256 32768 2.809e-06 2.216e-06 2.328e-06 1.16654e+10 1.4787e+10 1.40756e+10
4 32 1 512 65536 2.756e-06 2.069e-06 2.204e-06 2.37794e+10 3.16752e+10 2.9735e+10
4 32 1 1024 131072 2.99e-06 2.154e-06 2.253e-06 4.38368e+10 6.08505e+10 5.81767e+10
4 32 1 2048 262144 2.772e-06 2.284e-06 2.356e-06 9.45685e+10 1.14774e+11 1.11267e+11
4 32 1 4096 524288 3.209e-06 2.81e-06 3.272e-06 1.6338e+11 1.86579e+11 1.60235e+11
4 32 1 8192 1.04858e+06 5.302e-06 4.23e-06 4.695e-06 1.9777e+11 2.4789e+11 2.23339e+11
4 32 1 16384 2.09715e+06 5.595e-06 6.677e-06 7.358e-06 3.74826e+11 3.14086e+11 2.85017e+11
4 32 1 32768 4.1943e+06 1.395e-05 1.2645e-05 1.3462e-05 3.00667e+11 3.31697e+11 3.11566e+11
4 32 1 65536 8.38861e+06 2.9666e-05 3.0811e-05 3.5909e-05 2.82768e+11 2.7226e+11 2.33607e+11
4 32 1 131072 1.67772e+07 4.8369e-05 6.4139e-05 6.9574e-05 3.46859e+11 2.61576e+11 2.41142e+11
4 32 1 262144 3.35544e+07 8.7104e-05 0.000131403 0.000136602 3.85223e+11 2.55355e+11 2.45636e+11
4 32 1 524288 6.71089e+07 0.00193391 0.0017568 0.00278087 3.47011e+10 3.81996e+10 2.41323e+10
4 32 1 1048576 1.34218e+08 0.00305855 0.0043079 0.00529291 4.38828e+10 3.11562e+10 2.5358e+10
4 32 1 2097152 2.68435e+08 0.00510996 0.00944187 0.0103067 5.25318e+10 2.84303e+10 2.60447e+10
4 32 1 4194304 5.36871e+08 0.00928508 0.0198198 0.0206891 5.78208e+10 2.70875e+10 2.59494e+10
4 32 1 8388608 1.07374e+09 0.0176368 0.0401667 0.0410679 6.08807e+10 2.67321e+10 2.61455e+10
4 32 1 16777216 2.14748e+09 0.0343378 0.0810531 0.082079 6.25399e+10 2.64948e+10 2.61636e+10
4 32 1 33554432 4.29497e+09 0.0677834 0.162533 0.163328 6.33631e+10 2.64252e+10 2.62965e+10
4 32 1 67108864 8.58993e+09 0.134699 0.32725 0.327339 6.37715e+10 2.62489e+10 2.62417e+10
4 32 1 134217728 1.71799e+10 0.268395 0.655779 0.654928 6.40097e+10 2.61977e+10 2.62317e+10
4 32 1 268435456 3.43597e+10 0.53547 1.31785 1.3143 6.41675e+10 2.60727e+10 2.6143e+10
