OMP: Warning #181: OMP_PROC_BIND: ignored because KMP_AFFINITY has been defined
OMP: Warning #181: OMP_PLACES: ignored because KMP_AFFINITY has been defined
Running with MNT=32 and MNT=1 and  MAL=268435456
mquanta[B], num_threads, num_thransactions, length, memsize[B], r_time[s], w_time[s], rw_time[s], r_bw[B/s], w_bw[B/s], rw_bw[B/s]
4 32 1 1 128 3.77e-06 2.258e-06 2.428e-06 3.39523e+07 5.66873e+07 5.27183e+07
4 32 1 2 256 2.188e-06 1.909e-06 2.156e-06 1.17002e+08 1.34102e+08 1.18738e+08
4 32 1 4 512 2.291e-06 1.854e-06 2.114e-06 2.23483e+08 2.7616e+08 2.42195e+08
4 32 1 8 1024 2.264e-06 1.916e-06 1.965e-06 4.52297e+08 5.34447e+08 5.2112e+08
4 32 1 16 2048 4.316e-06 3.526e-06 1.6223e-05 4.74513e+08 5.80828e+08 1.26241e+08
4 32 1 32 4096 2.356e-06 1.981e-06 2.09e-06 1.73854e+09 2.06764e+09 1.95981e+09
4 32 1 64 8192 2.29e-06 1.89e-06 2.032e-06 3.57729e+09 4.33439e+09 4.0315e+09
4 32 1 128 16384 2.385e-06 2.067e-06 2.068e-06 6.8696e+09 7.92646e+09 7.92263e+09
4 32 1 256 32768 2.66e-06 2.375e-06 2.604e-06 1.23188e+10 1.37971e+10 1.25837e+10
4 32 1 512 65536 2.885e-06 3.125e-06 3.204e-06 2.27161e+10 2.09715e+10 2.04544e+10
4 32 1 1024 131072 3.282e-06 4.378e-06 4.942e-06 3.99366e+10 2.99388e+10 2.65221e+10
4 32 1 2048 262144 4.219e-06 6.635e-06 7.263e-06 6.21342e+10 3.95093e+10 3.60931e+10
4 32 1 4096 524288 5.897e-06 6.337e-06 1.1284e-05 8.89076e+10 8.27344e+10 4.6463e+10
4 32 1 8192 1.04858e+06 9.444e-06 1.2557e-05 1.244e-05 1.11031e+11 8.35053e+10 8.42907e+10
4 32 1 16384 2.09715e+06 1.5967e-05 1.644e-05 2.1584e-05 1.31343e+11 1.27564e+11 9.71623e+10
4 32 1 32768 4.1943e+06 2.3245e-05 3.2086e-05 3.9001e-05 1.80439e+11 1.30721e+11 1.07543e+11
4 32 1 65536 8.38861e+06 4.2028e-05 5.3992e-05 7.0955e-05 1.99596e+11 1.55368e+11 1.18224e+11
4 32 1 131072 1.67772e+07 6.8715e-05 0.000110072 9.7393e-05 2.44157e+11 1.5242e+11 1.72263e+11
4 32 1 262144 3.35544e+07 0.00014225 0.000194605 0.000185569 2.35884e+11 1.72423e+11 1.80819e+11
4 32 1 524288 6.71089e+07 0.00137663 0.000847082 0.00148369 4.87487e+10 7.92236e+10 4.52311e+10
4 32 1 1048576 1.34218e+08 0.00250079 0.00291474 0.00384365 5.36702e+10 4.60479e+10 3.49194e+10
4 32 1 2097152 2.68435e+08 0.00404485 0.00673422 0.00770075 6.63647e+10 3.98614e+10 3.48583e+10
4 32 1 4194304 5.36871e+08 0.00728563 0.0144582 0.0154876 7.3689e+10 3.71327e+10 3.46646e+10
4 32 1 8388608 1.07374e+09 0.0136177 0.0300123 0.0308866 7.88488e+10 3.57767e+10 3.4764e+10
4 32 1 16777216 2.14748e+09 0.0264092 0.0608804 0.0617856 8.13156e+10 3.52738e+10 3.4757e+10
4 32 1 33554432 4.29497e+09 0.0519701 0.122951 0.124097 8.2643e+10 3.49324e+10 3.46098e+10
4 32 1 67108864 8.58993e+09 0.102702 0.247034 0.247715 8.36393e+10 3.47723e+10 3.46767e+10
4 32 1 134217728 1.71799e+10 0.204983 0.494904 0.496611 8.38113e+10 3.47135e+10 3.45942e+10
4 32 1 268435456 3.43597e+10 0.408921 0.988969 0.991881 8.40253e+10 3.4743e+10 3.4641e+10
