OMP: Warning #181: OMP_PROC_BIND: ignored because KMP_AFFINITY has been defined
OMP: Warning #181: OMP_PLACES: ignored because KMP_AFFINITY has been defined
Running with MNTh=32 and MNTr=1024 and MAL=262144
mquanta[B], num_threads, num_thransactions, length, memsize[B], r_time[s], w_time[s], rw_time[s], r_bw[B/s], w_bw[B/s], rw_bw[B/s]
4 32 1 1 128 4.36e-06 2.194e-06 2.246e-06 2.93578e+07 5.83409e+07 5.69902e+07
4 32 1 2 256 2.61e-06 1.861e-06 1.897e-06 9.80843e+07 1.3756e+08 1.3495e+08
4 32 1 4 512 2.65e-06 1.808e-06 1.941e-06 1.93208e+08 2.83186e+08 2.63782e+08
4 32 1 8 1024 2.574e-06 1.919e-06 1.809e-06 3.97824e+08 5.33611e+08 5.66059e+08
4 32 1 16 2048 3.473e-06 3.63e-06 1.6054e-05 5.89692e+08 5.64187e+08 1.27569e+08
4 32 1 32 4096 2.685e-06 1.96e-06 1.989e-06 1.52551e+09 2.0898e+09 2.05933e+09
4 32 1 64 8192 2.768e-06 1.967e-06 1.939e-06 2.95954e+09 4.16472e+09 4.22486e+09
4 32 1 128 16384 2.719e-06 2.084e-06 2.095e-06 6.02574e+09 7.8618e+09 7.82053e+09
4 32 1 256 32768 2.762e-06 2.12e-06 2.144e-06 1.18639e+10 1.54566e+10 1.52836e+10
4 32 1 512 65536 2.874e-06 2.081e-06 2.132e-06 2.28031e+10 3.14926e+10 3.07392e+10
4 32 1 1024 131072 2.82e-06 2.114e-06 2.188e-06 4.64794e+10 6.20019e+10 5.99049e+10
4 32 1 2048 262144 2.902e-06 2.239e-06 2.257e-06 9.03322e+10 1.17081e+11 1.16147e+11
4 32 1 4096 524288 3.087e-06 2.999e-06 3.226e-06 1.69837e+11 1.74821e+11 1.6252e+11
4 32 1 8192 1.04858e+06 4.173e-06 4.267e-06 4.573e-06 2.51276e+11 2.45741e+11 2.29297e+11
4 32 1 16384 2.09715e+06 5.088e-06 6.671e-06 7.559e-06 4.12176e+11 3.14368e+11 2.77438e+11
4 32 1 32768 4.1943e+06 9.981e-06 1.2881e-05 1.3694e-05 4.20229e+11 3.25619e+11 3.06288e+11
4 32 1 65536 8.38861e+06 2.8868e-05 3.0416e-05 3.6015e-05 2.90585e+11 2.75796e+11 2.3292e+11
4 32 1 131072 1.67772e+07 4.8492e-05 6.4407e-05 6.9408e-05 3.45979e+11 2.60487e+11 2.41719e+11
4 32 1 262144 3.35544e+07 8.776e-05 0.00014201 0.000136723 3.82343e+11 2.36282e+11 2.45419e+11
4 32 2 1 256 2.586e-06 1.972e-06 2.127e-06 9.89946e+07 1.29817e+08 1.20357e+08
4 32 2 2 512 2.581e-06 2.012e-06 2.038e-06 1.98373e+08 2.54473e+08 2.51227e+08
4 32 2 4 1024 2.902e-06 1.948e-06 2.035e-06 3.5286e+08 5.25667e+08 5.03194e+08
4 32 2 8 2048 2.528e-06 2.155e-06 1.929e-06 8.10127e+08 9.50348e+08 1.06169e+09
4 32 2 16 4096 4.106e-06 1.3537e-05 2.349e-06 9.97565e+08 3.02578e+08 1.74372e+09
4 32 2 32 8192 2.816e-06 2.038e-06 1.906e-06 2.90909e+09 4.01963e+09 4.29801e+09
4 32 2 64 16384 2.582e-06 2.003e-06 2.02e-06 6.34547e+09 8.17973e+09 8.11089e+09
4 32 2 128 32768 2.703e-06 2e-06 2.135e-06 1.21228e+10 1.6384e+10 1.5348e+10
4 32 2 256 65536 2.682e-06 2.103e-06 2.208e-06 2.44355e+10 3.11631e+10 2.96812e+10
4 32 2 512 131072 2.602e-06 2.206e-06 2.284e-06 5.03736e+10 5.94161e+10 5.7387e+10
4 32 2 1024 262144 2.514e-06 2.258e-06 2.454e-06 1.04274e+11 1.16096e+11 1.06823e+11
4 32 2 2048 524288 2.871e-06 2.895e-06 3.091e-06 1.82615e+11 1.81101e+11 1.69618e+11
4 32 2 4096 1.04858e+06 4.019e-06 4.286e-06 4.743e-06 2.60905e+11 2.44651e+11 2.21079e+11
4 32 2 8192 2.09715e+06 5.114e-06 6.649e-06 7.534e-06 4.10081e+11 3.15409e+11 2.78358e+11
4 32 2 16384 4.1943e+06 9.91e-06 1.2756e-05 1.3642e-05 4.2324e+11 3.2881e+11 3.07455e+11
4 32 2 32768 8.38861e+06 2.4303e-05 3.0877e-05 3.6249e-05 3.45168e+11 2.71678e+11 2.31416e+11
4 32 2 65536 1.67772e+07 4.8612e-05 6.4391e-05 6.962e-05 3.45125e+11 2.60552e+11 2.40983e+11
4 32 2 131072 3.35544e+07 8.7547e-05 0.000132116 0.000136512 3.83273e+11 2.53977e+11 2.45798e+11
