OMP: Warning #181: OMP_PROC_BIND: ignored because KMP_AFFINITY has been defined
OMP: Warning #181: OMP_PLACES: ignored because KMP_AFFINITY has been defined
TYPE=unsigned int
ENABLE_READ=1
ENABLE_WRITE=1
ENABLE_READWRITE=1
SHUFFLE_THREADS=0
REVERSE_THREADS=0
SHUFFLE_TRANSACTIONS=0
REVERSE_TRANSACTIONS=1
SHUFFLE_ACCESSES=0
REVERSE_ACCESSES=0
TEST_RANDOMICITY=0
Running with MNTh=32 and MNTr=1024 and MAL=262144
mquanta[B], num_threads, num_thransactions, length, memsize[B], read_max_time[s], read_avg_time[s], read_var_time, write_max_time[s], write_avg_time[s], write_var_time, readwrite_max_time[s], readwrite_avg_time[s], readwrite_var_time, read_max_bw[B/s], read_avg_bw[B/s], write_max_bw[B/s], write_avg_bw[B/s], readwrite_max_bw[B/s], readwrite_avg_bw[B/s], 
4 32 1 1 128 3.98e-07 2.79063e-07 3.29418e-15 3.26e-07 2.00406e-07 3.95137e-15 4.87e-07 2.41031e-07 8.76022e-15 3.21608e+08 4.58679e+08 3.92638e+08 6.38703e+08 2.62834e+08 5.31051e+08
4 32 1 2 256 1.44e-07 1.19656e-07 2.62601e-16 2.05e-07 1.13438e-07 6.72309e-16 2.79e-07 1.60937e-07 2.211e-15 1.77778e+09 2.13946e+09 1.24878e+09 2.25675e+09 9.17563e+08 1.59068e+09
4 32 1 4 512 1.44e-07 1.06281e-07 4.5639e-16 1.72e-07 1.11469e-07 4.29749e-16 2.94e-07 1.52563e-07 1.6285e-15 3.55556e+09 4.81741e+09 2.97674e+09 4.59322e+09 1.7415e+09 3.356e+09
4 32 1 8 1024 2.3e-07 1.34625e-07 1.42086e-15 1.87e-07 1.37406e-07 4.54116e-16 4.17e-07 2.20094e-07 5.93583e-15 4.45217e+09 7.60631e+09 5.47594e+09 7.45235e+09 2.45564e+09 4.65256e+09
4 32 1 16 2048 6.73e-07 2.67469e-07 1.36252e-14 6.13e-07 3.36625e-07 1.22447e-14 5.45e-07 1.90531e-07 5.18006e-15 3.04309e+09 7.65697e+09 3.34095e+09 6.08392e+09 3.7578e+09 1.07489e+10
4 32 1 32 4096 3.16e-07 2.05594e-07 1.64518e-15 2.46e-07 2.08125e-07 2.22859e-16 3.81e-07 2.45313e-07 2.39928e-15 1.2962e+10 1.99228e+10 1.66504e+10 1.96805e+10 1.07507e+10 1.66971e+10
4 32 1 64 8192 3.87e-07 2.58937e-07 2.62162e-15 3.66e-07 3.15656e-07 5.17288e-16 6.65e-07 3.53312e-07 9.41103e-15 2.1168e+10 3.1637e+10 2.23825e+10 2.59523e+10 1.23188e+10 2.31863e+10
4 32 1 128 16384 5.14e-07 3.9975e-07 1.57744e-15 5.73e-07 5.17469e-07 5.49999e-16 6.89e-07 5.05719e-07 5.1397e-15 3.18755e+10 4.09856e+10 2.85934e+10 3.16618e+10 2.37794e+10 3.23975e+10
4 32 1 256 32768 7.57e-07 6.97969e-07 7.83468e-16 9.95e-07 9.26188e-07 1.21134e-15 1.437e-06 9.20875e-07 1.68159e-14 4.32867e+10 4.69477e+10 3.29327e+10 3.53794e+10 2.28031e+10 3.55835e+10
4 32 1 512 65536 1.327e-06 1.26075e-06 9.24e-16 1.863e-06 1.74003e-06 9.34468e-16 1.692e-06 1.60522e-06 2.3663e-15 4.93866e+10 5.19818e+10 3.51777e+10 3.76637e+10 3.87329e+10 4.08268e+10
4 32 1 1024 131072 2.527e-06 2.43628e-06 3.14814e-15 3.476e-06 3.38434e-06 8.58851e-16 3.263e-06 3.08372e-06 5.67858e-15 5.18686e+10 5.38e+10 3.77077e+10 3.87289e+10 4.01692e+10 4.25045e+10
4 32 1 2048 262144 4.867e-06 4.7115e-06 1.67283e-14 6.779e-06 6.63484e-06 2.2942e-14 6.172e-06 6.00638e-06 6.95148e-15 5.38615e+10 5.56392e+10 3.867e+10 3.95102e+10 4.24731e+10 4.36443e+10
4 32 1 4096 524288 9.642e-06 9.36822e-06 5.92856e-14 1.3401e-05 1.308e-05 2.38491e-13 1.2068e-05 1.18908e-05 1.06275e-14 5.43754e+10 5.59645e+10 3.91231e+10 4.00833e+10 4.34445e+10 4.40919e+10
4 32 1 8192 1.04858e+06 1.9204e-05 1.86638e-05 2.57533e-13 2.6495e-05 2.5616e-05 1.82977e-12 2.3923e-05 2.35115e-05 3.46484e-14 5.4602e+10 5.61822e+10 3.95764e+10 4.09345e+10 4.38313e+10 4.45985e+10
4 32 1 16384 2.09715e+06 3.8271e-05 3.7097e-05 1.18859e-12 5.2747e-05 4.82821e-05 8.7613e-12 4.7586e-05 4.6822e-05 1.44309e-13 5.47974e+10 5.65315e+10 3.97587e+10 4.34354e+10 4.40708e+10 4.47899e+10
4 32 1 32768 4.1943e+06 7.6314e-05 7.10823e-05 3.91453e-12 0.000105629 9.65954e-05 2.57975e-11 9.4313e-05 9.35541e-05 1.76849e-13 5.49611e+10 5.90063e+10 3.97079e+10 4.34213e+10 4.44722e+10 4.48329e+10
4 32 1 65536 8.38861e+06 0.00015252 0.000148453 1.45799e-11 0.000197766 0.000189985 2.77159e-11 0.000198191 0.000194472 1.84637e-11 5.50001e+10 5.65067e+10 4.24168e+10 4.4154e+10 4.23259e+10 4.31352e+10
4 32 1 131072 1.67772e+07 0.000304831 0.000287567 5.75907e-11 0.000404992 0.000386034 8.98817e-11 0.000392691 0.000384518 8.01767e-12 5.50378e+10 5.83419e+10 4.1426e+10 4.34605e+10 4.27237e+10 4.36319e+10
4 32 1 262144 3.35544e+07 0.000609199 0.000575263 2.72314e-10 0.000763627 0.00075146 6.88475e-11 0.000669572 0.000666907 2.99603e-12 5.50796e+10 5.83289e+10 4.39409e+10 4.46523e+10 5.01133e+10 5.03135e+10
4 32 2 1 256 2.22e-07 1.62937e-07 7.26621e-16 1.75e-07 1.25e-07 5.59687e-16 4.27e-07 2.45844e-07 5.89782e-15 1.15315e+09 1.57115e+09 1.46286e+09 2.048e+09 5.99532e+08 1.04131e+09
4 32 2 2 512 1.74e-07 1.50656e-07 2.36913e-16 2.18e-07 1.54469e-07 8.82062e-16 3.29e-07 1.79656e-07 2.93954e-15 2.94253e+09 3.39847e+09 2.34862e+09 3.31459e+09 1.55623e+09 2.84989e+09
4 32 2 4 1024 2.79e-07 1.52375e-07 1.06136e-15 2e-07 1.38781e-07 4.57296e-16 4.38e-07 2.58e-07 5.51344e-15 3.67025e+09 6.72026e+09 5.12e+09 7.37852e+09 2.3379e+09 3.96899e+09
4 32 2 8 2048 1.94e-07 1.66188e-07 4.0109e-16 2.3e-07 1.82875e-07 5.16922e-16 3.96e-07 2.06313e-07 3.94378e-15 1.05567e+10 1.23234e+10 8.90435e+09 1.11989e+10 5.17172e+09 9.92669e+09
4 32 2 16 4096 5.5e-07 4.18469e-07 6.83762e-15 7.61e-07 5.39656e-07 1.40707e-14 4.33e-07 2.59281e-07 1.72576e-15 7.44727e+09 9.78807e+09 5.38239e+09 7.59002e+09 9.45958e+09 1.57975e+10
4 32 2 32 8192 4.06e-07 2.94469e-07 1.60562e-15 4.04e-07 3.41219e-07 7.47858e-16 6.22e-07 3.93813e-07 5.12203e-15 2.01773e+10 2.78196e+10 2.02772e+10 2.40081e+10 1.31704e+10 2.08018e+10
4 32 2 64 16384 6.27e-07 4.4275e-07 3.60506e-15 6.23e-07 5.64281e-07 8.25952e-16 8.28e-07 5.7325e-07 7.17044e-15 2.61308e+10 3.70051e+10 2.62986e+10 2.90352e+10 1.97874e+10 2.85809e+10
4 32 2 128 32768 8.15e-07 7.185e-07 1.41638e-15 1.02e-06 9.56031e-07 7.93905e-16 1.06e-06 9.08438e-07 5.65018e-15 4.02061e+10 4.56061e+10 3.21255e+10 3.4275e+10 3.09132e+10 3.60707e+10
4 32 2 256 65536 1.36e-06 1.28706e-06 1.14556e-15 1.84e-06 1.77659e-06 9.32304e-16 1.772e-06 1.64491e-06 4.28371e-15 4.81882e+10 5.09191e+10 3.56174e+10 3.68886e+10 3.69842e+10 3.98418e+10
4 32 2 512 131072 2.531e-06 2.44506e-06 2.0415e-15 3.496e-06 3.41966e-06 1.34629e-15 3.275e-06 3.11891e-06 4.8599e-15 5.17866e+10 5.36068e+10 3.7492e+10 3.8329e+10 4.0022e+10 4.2025e+10
4 32 2 1024 262144 4.876e-06 4.75444e-06 5.50081e-15 6.75e-06 6.63991e-06 2.59742e-14 6.325e-06 6.07913e-06 9.4958e-15 5.37621e+10 5.51367e+10 3.88361e+10 3.94801e+10 4.14457e+10 4.3122e+10
4 32 2 2048 524288 9.639e-06 9.36019e-06 2.70974e-14 1.3367e-05 1.31125e-05 7.52688e-14 1.2141e-05 1.19354e-05 9.29712e-15 5.43924e+10 5.60126e+10 3.92226e+10 3.99838e+10 4.31833e+10 4.39271e+10
4 32 2 4096 1.04858e+06 1.9112e-05 1.86663e-05 8.31763e-14 2.6563e-05 2.56433e-05 5.1049e-13 2.3977e-05 2.3627e-05 1.85612e-14 5.48648e+10 5.61748e+10 3.94751e+10 4.08908e+10 4.37326e+10 4.43804e+10
4 32 2 8192 2.09715e+06 3.799e-05 3.72472e-05 3.48678e-13 5.2783e-05 5.0985e-05 2.3348e-12 4.7491e-05 4.71118e-05 2.63008e-14 5.52027e+10 5.63036e+10 3.97316e+10 4.11327e+10 4.41589e+10 4.45143e+10
4 32 2 16384 4.1943e+06 7.5789e-05 7.38358e-05 1.88434e-12 0.000105304 9.77539e-05 1.1406e-11 9.4262e-05 9.3687e-05 1.64014e-13 5.53419e+10 5.68058e+10 3.98304e+10 4.29068e+10 4.44962e+10 4.47693e+10
4 32 2 32768 8.38861e+06 0.000151315 0.00014824 7.87887e-12 0.00020386 0.000193271 2.39975e-11 0.000188729 0.000187289 7.19467e-13 5.5438e+10 5.6588e+10 4.11489e+10 4.34034e+10 4.44479e+10 4.47896e+10
4 32 2 65536 1.67772e+07 0.000324115 0.000303859 2.81521e-11 0.000394639 0.000379916 5.51346e-11 0.000375722 0.000373603 1.37554e-12 5.17632e+10 5.52139e+10 4.25128e+10 4.41604e+10 4.46533e+10 4.49065e+10
4 32 2 131072 3.35544e+07 0.000613088 0.000592719 1.24755e-10 0.00076385 0.000744985 1.86253e-10 0.000670607 0.000667125 3.06277e-12 5.47302e+10 5.6611e+10 4.3928e+10 4.50404e+10 5.00359e+10 5.02971e+10
4 32 2 262144 6.71089e+07 0.00164795 0.00150937 1.7427e-09 0.00203752 0.00178167 2.66778e-09 0.00273218 0.00253403 2.06822e-09 4.07226e+10 4.44615e+10 3.29366e+10 3.76663e+10 2.45624e+10 2.6483e+10
4 32 4 1 512 5.92e-07 3.76188e-07 8.78078e-15 4.21e-07 3.26188e-07 2.84046e-15 4.89e-07 3.26719e-07 1.08327e-14 8.64865e+08 1.36102e+09 1.21615e+09 1.56965e+09 1.04703e+09 1.5671e+09
4 32 4 2 1024 5.33e-07 2.10875e-07 9.09973e-15 2.53e-07 2.01406e-07 8.69741e-16 6.3e-07 3.03625e-07 1.17574e-14 1.9212e+09 4.85596e+09 4.04743e+09 5.08425e+09 1.6254e+09 3.37258e+09
4 32 4 4 2048 2.38e-07 1.78719e-07 6.53577e-16 2.42e-07 1.87438e-07 4.34621e-16 2.52e-07 1.99062e-07 6.00809e-16 8.60504e+09 1.14593e+10 8.46281e+09 1.09263e+10 8.12698e+09 1.02882e+10
4 32 4 8 4096 2.63e-07 2.06062e-07 7.75559e-16 2.94e-07 2.47125e-07 7.03234e-16 3.62e-07 2.835e-07 1.3925e-15 1.55741e+10 1.98775e+10 1.3932e+10 1.65746e+10 1.13149e+10 1.4448e+10
4 32 4 16 8192 8.55e-07 6.81563e-07 1.28567e-14 4.1e-07 3.62563e-07 6.65684e-16 6.17e-07 4.56156e-07 5.44969e-15 9.58129e+09 1.20194e+10 1.99805e+10 2.25947e+10 1.32771e+10 1.79588e+10
4 32 4 32 16384 7.43e-07 5.07125e-07 4.5558e-15 6.69e-07 5.89656e-07 1.13623e-15 8.99e-07 6.56094e-07 1.251e-14 2.20511e+10 3.23076e+10 2.44903e+10 2.77857e+10 1.82247e+10 2.4972e+10
4 32 4 64 32768 8.53e-07 7.63281e-07 2.62551e-15 1.029e-06 9.81656e-07 4.66038e-16 1.196e-06 9.77188e-07 6.94946e-15 3.8415e+10 4.29304e+10 3.18445e+10 3.33803e+10 2.7398e+10 3.3533e+10
4 32 4 128 65536 1.396e-06 1.33747e-06 1.08169e-15 1.916e-06 1.815e-06 8.9725e-16 1.781e-06 1.67103e-06 4.04209e-15 4.69456e+10 4.9e+10 3.42046e+10 3.6108e+10 3.67973e+10 3.92189e+10
4 32 4 256 131072 5.204e-06 2.56181e-06 2.30832e-13 3.569e-06 3.43544e-06 1.13043e-15 3.322e-06 3.1445e-06 4.98169e-15 2.51868e+10 5.11638e+10 3.67251e+10 3.81529e+10 3.94557e+10 4.16829e+10
4 32 4 512 262144 4.922e-06 4.80284e-06 5.09569e-15 6.801e-06 6.6995e-06 3.8495e-15 6.289e-06 6.07506e-06 1.18604e-14 5.32597e+10 5.4581e+10 3.85449e+10 3.91289e+10 4.16829e+10 4.31508e+10
4 32 4 1024 524288 9.572e-06 9.3975e-06 1.32944e-14 1.3439e-05 1.32863e-05 1.33489e-14 1.2079e-05 1.19058e-05 8.08778e-15 5.47731e+10 5.57902e+10 3.90124e+10 3.94609e+10 4.34049e+10 4.40363e+10
4 32 4 2048 1.04858e+06 1.9209e-05 1.85646e-05 1.03018e-13 2.6561e-05 2.60913e-05 1.75698e-13 2.3762e-05 2.35843e-05 1.26541e-14 5.45877e+10 5.64825e+10 3.9478e+10 4.01888e+10 4.41283e+10 4.44608e+10
4 32 4 4096 2.09715e+06 3.8027e-05 3.72478e-05 2.32991e-13 5.2803e-05 5.14842e-05 2.34357e-13 4.7241e-05 4.69221e-05 2.10611e-14 5.5149e+10 5.63026e+10 3.97165e+10 4.07339e+10 4.43926e+10 4.46943e+10
4 32 4 8192 4.1943e+06 7.5497e-05 7.42352e-05 9.90738e-13 0.000102547 0.000100267 3.25553e-12 9.4319e-05 9.38214e-05 6.74324e-14 5.55559e+10 5.65002e+10 4.09013e+10 4.18315e+10 4.44693e+10 4.47052e+10
4 32 4 16384 8.38861e+06 0.000150836 0.000148364 4.44388e-12 0.000204281 0.000192 3.75985e-11 0.000187976 0.000186884 3.17608e-13 5.56141e+10 5.65408e+10 4.10641e+10 4.36906e+10 4.4626e+10 4.48867e+10
4 32 4 32768 1.67772e+07 0.000301369 0.000295562 1.86045e-11 0.000394979 0.000384371 4.47245e-11 0.000386385 0.000382965 1.1648e-11 5.567e+10 5.67637e+10 4.24762e+10 4.36485e+10 4.3421e+10 4.38088e+10
4 32 4 65536 3.35544e+07 0.000602859 0.00059174 8.25706e-11 0.000746762 0.000734554 6.00814e-11 0.000680593 0.00067548 4.23199e-12 5.56588e+10 5.67047e+10 4.49332e+10 4.568e+10 4.93018e+10 4.96749e+10
4 32 4 131072 6.71089e+07 0.00161519 0.00158069 3.01099e-10 0.0017984 0.00175993 3.46759e-10 0.00257486 0.00252809 8.87352e-10 4.15486e+10 4.24554e+10 3.73159e+10 3.81315e+10 2.60632e+10 2.65453e+10
4 32 4 262144 1.34218e+08 0.00301218 0.00296065 9.38289e-10 0.00436153 0.00431428 7.00825e-10 0.00521942 0.00509908 2.25497e-09 4.45584e+10 4.53339e+10 3.07731e+10 3.11101e+10 2.57151e+10 2.6322e+10
4 32 8 1 1024 8.01e-07 6.23813e-07 1.01407e-14 3.77e-07 2.88594e-07 3.65805e-15 7.31e-07 3.06719e-07 1.16853e-14 1.2784e+09 1.64152e+09 2.71618e+09 3.54824e+09 1.40082e+09 3.33856e+09
4 32 8 2 2048 3.01e-07 1.94969e-07 1.43316e-15 2.84e-07 2.19219e-07 8.65608e-16 3.73e-07 2.47125e-07 2.45448e-15 6.80399e+09 1.05042e+10 7.21127e+09 9.34227e+09 5.49062e+09 8.2873e+09
4 32 8 4 4096 2.98e-07 2.42469e-07 7.49562e-16 3.35e-07 2.76125e-07 6.93609e-16 3.93e-07 2.87313e-07 2.23115e-15 1.3745e+10 1.68929e+10 1.22269e+10 1.48339e+10 1.04224e+10 1.42563e+10
4 32 8 8 8192 4.81e-07 3.175e-07 2.725e-15 4.42e-07 3.81875e-07 8.14797e-16 5.97e-07 4.32344e-07 3.84123e-15 1.70312e+10 2.58016e+10 1.85339e+10 2.1452e+10 1.37219e+10 1.89479e+10
4 32 8 16 16384 1.448e-06 1.1615e-06 1.80842e-14 6.7e-07 6.03063e-07 8.96934e-16 1.117e-06 7.74813e-07 2.21606e-14 1.13149e+10 1.41059e+10 2.44537e+10 2.7168e+10 1.46679e+10 2.11458e+10
4 32 8 32 32768 1.129e-06 8.63344e-07 1.02497e-14 1.095e-06 1.02203e-06 1.00547e-15 1.135e-06 1.01822e-06 4.58217e-15 2.90239e+10 3.79548e+10 2.99251e+10 3.20616e+10 2.88705e+10 3.21817e+10
4 32 8 64 65536 1.481e-06 1.39537e-06 1.61936e-15 4.738e-06 1.92147e-06 2.58283e-13 1.849e-06 1.74872e-06 2.7232e-15 4.42512e+10 4.69666e+10 1.3832e+10 3.41072e+10 3.5444e+10 3.74766e+10
4 32 8 128 131072 2.613e-06 2.53916e-06 1.94988e-15 3.635e-06 3.53078e-06 1.68998e-15 3.438e-06 3.2005e-06 7.34287e-15 5.01615e+10 5.16203e+10 3.60583e+10 3.71227e+10 3.81245e+10 4.09536e+10
4 32 8 256 262144 4.915e-06 4.81725e-06 3.19688e-15 6.919e-06 6.78281e-06 3.14865e-15 8.932e-06 6.18691e-06 2.52558e-13 5.33355e+10 5.44178e+10 3.78876e+10 3.86483e+10 2.93489e+10 4.23708e+10
