OMP: Warning #181: OMP_PROC_BIND: ignored because KMP_AFFINITY has been defined
OMP: Warning #181: OMP_PLACES: ignored because KMP_AFFINITY has been defined
TYPE=unsigned int
ENABLE_READ=1
ENABLE_WRITE=1
ENABLE_READWRITE=1
SHUFFLE_THREADS=0
REVERSE_THREADS=0
SHUFFLE_TRANSACTIONS=0
REVERSE_TRANSACTIONS=0
SHUFFLE_ACCESSES=0
REVERSE_ACCESSES=1
TEST_RANDOMICITY=0
Running with MNTh=32 and MNTr=1024 and MAL=262144
mquanta[B], num_threads, num_thransactions, length, memsize[B], read_max_time[s], read_avg_time[s], read_var_time, write_max_time[s], write_avg_time[s], write_var_time, readwrite_max_time[s], readwrite_avg_time[s], readwrite_var_time, read_max_bw[B/s], read_avg_bw[B/s], write_max_bw[B/s], write_avg_bw[B/s], readwrite_max_bw[B/s], readwrite_avg_bw[B/s], 
4 32 1 1 128 3.5e-07 2.29563e-07 2.85006e-15 2.52e-07 1.44531e-07 2.41487e-15 2.9e-07 1.74719e-07 3.04914e-15 3.65714e+08 5.57582e+08 5.07937e+08 8.85622e+08 4.41379e+08 7.32606e+08
4 32 1 2 256 1.53e-07 1.06031e-07 3.70655e-16 1.55e-07 9.93438e-08 4.92601e-16 2.81e-07 1.57688e-07 2.50765e-15 1.6732e+09 2.41438e+09 1.65161e+09 2.57691e+09 9.11032e+08 1.62346e+09
4 32 1 4 512 1.2e-07 8.7625e-08 3.60547e-16 1.97e-07 1.12281e-07 9.66452e-16 2.55e-07 1.44969e-07 1.32978e-15 4.26667e+09 5.84308e+09 2.59898e+09 4.55998e+09 2.00784e+09 3.5318e+09
4 32 1 8 1024 1.54e-07 9.9875e-08 4.20797e-16 1.96e-07 1.06969e-07 6.7628e-16 3.59e-07 2.15094e-07 4.10171e-15 6.64935e+09 1.02528e+10 5.22449e+09 9.57289e+09 2.85237e+09 4.76071e+09
4 32 1 16 2048 4.09e-07 1.50625e-07 3.28298e-15 1.89e-07 1.3875e-07 3.62437e-16 2.97e-07 1.75875e-07 1.38255e-15 5.00733e+09 1.35967e+10 1.0836e+10 1.47604e+10 6.89562e+09 1.16446e+10
4 32 1 32 4096 3.14e-07 1.76156e-07 2.60088e-15 1.89e-07 1.66469e-07 1.43499e-16 4.32e-07 2.44844e-07 3.54707e-15 1.30446e+10 2.32521e+10 2.1672e+10 2.46052e+10 9.48148e+09 1.6729e+10
4 32 1 64 8192 3.3e-07 1.98906e-07 1.30002e-15 3.75e-07 2.45531e-07 1.25369e-15 5.45e-07 3.38594e-07 5.01549e-15 2.48242e+10 4.11852e+10 2.18453e+10 3.33644e+10 1.50312e+10 2.41942e+10
4 32 1 128 16384 4.44e-07 3.12781e-07 1.42761e-15 4.27e-07 3.86375e-07 4.25797e-16 7.71e-07 5.56688e-07 8.47428e-15 3.69009e+10 5.23817e+10 3.837e+10 4.24044e+10 2.12503e+10 2.94312e+10
4 32 1 256 32768 5.86e-07 5.33344e-07 4.41913e-16 7.5e-07 7.08031e-07 4.82593e-16 1.066e-06 9.43594e-07 1.68237e-15 5.59181e+10 6.14388e+10 4.36907e+10 4.62804e+10 3.07392e+10 3.47268e+10
4 32 1 512 65536 1.002e-06 9.39469e-07 5.40749e-16 1.357e-06 1.31884e-06 5.48882e-16 1.836e-06 1.75247e-06 1.53462e-15 6.54052e+10 6.97586e+10 4.82948e+10 4.9692e+10 3.5695e+10 3.73964e+10
