OMP: Warning #181: OMP_PROC_BIND: ignored because KMP_AFFINITY has been defined
OMP: Warning #181: OMP_PLACES: ignored because KMP_AFFINITY has been defined
TYPE=unsigned int
ENABLE_READ=1
ENABLE_WRITE=1
ENABLE_READWRITE=1
SHUFFLE_THREADS=0
REVERSE_THREADS=0
SHUFFLE_TRANSACTIONS=0
REVERSE_TRANSACTIONS=0
SHUFFLE_ACCESSES=0
REVERSE_ACCESSES=0
TEST_RANDOMICITY=0
Running with MNTh=32 and MNTr=1024 and MAL=262144
mquanta[B], num_threads, num_thransactions, length, memsize[B], read_max_time[s], read_avg_time[s], read_var_time, write_max_time[s], write_avg_time[s], write_var_time, readwrite_max_time[s], readwrite_avg_time[s], readwrite_var_time, read_max_bw[B/s], read_avg_bw[B/s], write_max_bw[B/s], write_avg_bw[B/s], readwrite_max_bw[B/s], readwrite_avg_bw[B/s], 
4 32 1 1 128 4.08e-07 2.49687e-07 6.2904e-15 1.82e-07 1.34313e-07 5.0459e-16 3.56e-07 1.61813e-07 4.90296e-15 3.13725e+08 5.12641e+08 7.03297e+08 9.53001e+08 3.59551e+08 7.91039e+08
4 32 1 2 256 1.79e-07 1.20438e-07 1.18162e-15 2.24e-07 1.08656e-07 1.16691e-15 4.34e-07 1.84438e-07 5.38825e-15 1.43017e+09 2.12558e+09 1.14286e+09 2.35605e+09 5.89862e+08 1.388e+09
4 32 1 4 512 1.44e-07 9.04063e-08 4.76991e-16 1.14e-07 8.425e-08 1.86063e-16 3.38e-07 1.68063e-07 3.82506e-15 3.55556e+09 5.66333e+09 4.49123e+09 6.07715e+09 1.51479e+09 3.04649e+09
4 32 1 8 1024 1.55e-07 1.06313e-07 8.17902e-16 1.2e-07 9.85e-08 2.09937e-16 3.33e-07 1.81156e-07 3.10432e-15 6.60645e+09 9.63198e+09 8.53333e+09 1.03959e+10 3.07508e+09 5.65258e+09
4 32 1 16 2048 2.65e-07 1.75938e-07 1.32081e-15 2.47e-07 1.55938e-07 7.70809e-16 3.19e-07 1.8625e-07 1.63494e-15 7.7283e+09 1.16405e+10 8.2915e+09 1.31335e+10 6.42006e+09 1.0996e+10
4 32 1 32 4096 2.8e-07 1.74937e-07 1.32268e-15 2.5e-07 1.70469e-07 7.52249e-16 3.7e-07 2.57312e-07 1.57234e-15 1.46286e+10 2.34141e+10 1.6384e+10 2.40279e+10 1.10703e+10 1.59184e+10
4 32 1 64 8192 3.62e-07 2.19875e-07 2.99061e-15 3.49e-07 2.37844e-07 2.10813e-15 5.25e-07 3.78156e-07 3.19738e-15 2.26298e+10 3.72575e+10 2.34728e+10 3.44428e+10 1.56038e+10 2.1663e+10
4 32 1 128 16384 3.96e-07 2.89031e-07 1.97316e-15 4.2e-07 3.45375e-07 4.71422e-16 9.05e-07 6.68563e-07 8.69462e-15 4.13737e+10 5.66859e+10 3.90095e+10 4.74383e+10 1.81039e+10 2.45063e+10
4 32 1 256 32768 5.24e-07 4.52313e-07 7.00152e-16 7.13e-07 6.1475e-07 1.07131e-15 1.295e-06 1.14463e-06 1.61961e-15 6.25344e+10 7.24455e+10 4.59579e+10 5.3303e+10 2.53035e+10 2.86277e+10
4 32 1 512 65536 8.73e-07 8.12031e-07 6.9928e-16 1.208e-06 1.11556e-06 6.45121e-16 2.22e-06 2.15072e-06 1.05258e-15 7.50699e+10 8.07063e+10 5.42517e+10 5.8747e+10 2.95207e+10 3.04717e+10
